example,word_position,role,word_hex_40bit,l1_counter,type,bcid,chip_id,status,hits,crc_field,event_crc_check
76,150,Header,0x3C5C150314,84,0,788,,,,,PASS
76,151,Trailer,0x7FFF800026,,,,131070,0,0,0x26,PASS
76,152,Next Header,0x3C5C15437A,85,0,890,,,,,PASS
77,152,Header,0x3C5C15437A,85,0,890,,,,,PASS
77,153,Trailer,0x7FFF8000F7,,,,131070,0,0,0xF7,PASS
77,154,Next Header,0x3C5C1583E0,86,0,992,,,,,PASS
78,154,Header,0x3C5C1583E0,86,0,992,,,,,PASS
78,155,Trailer,0x7FFF8000CD,,,,131070,0,0,0xCD,PASS
78,156,Next Header,0x3C5C15C446,87,0,1094,,,,,PASS
79,156,Header,0x3C5C15C446,87,0,1094,,,,,PASS
79,157,Trailer,0x7FFF80005B,,,,131070,0,0,0x5B,PASS
79,158,Next Header,0x3C5C1604AC,88,0,1196,,,,,PASS
80,158,Header,0x3C5C1604AC,88,0,1196,,,,,PASS
80,159,Trailer,0x7FFF800003,,,,131070,0,0,0x03,PASS
80,160,Next Header,0x3C5C164512,89,0,1298,,,,,PASS
81,160,Header,0x3C5C164512,89,0,1298,,,,,PASS
81,161,Trailer,0x7FFF800060,,,,131070,0,0,0x60,PASS
81,162,Next Header,0x3C5C168578,90,0,1400,,,,,PASS
82,162,Header,0x3C5C168578,90,0,1400,,,,,PASS
82,163,Trailer,0x7FFF800021,,,,131070,0,0,0x21,PASS
82,164,Next Header,0x3C5C16C5DE,91,0,1502,,,,,PASS
83,164,Header,0x3C5C16C5DE,91,0,1502,,,,,PASS
83,165,Trailer,0x7FFF800034,,,,131070,0,0,0x34,PASS
83,166,Next Header,0x3C5C170644,92,0,1604,,,,,PASS
84,166,Header,0x3C5C170644,92,0,1604,,,,,PASS
84,167,Trailer,0x7FFF800006,,,,131070,0,0,0x06,PASS
84,168,Next Header,0x3C5C1746AA,93,0,1706,,,,,PASS
85,168,Header,0x3C5C1746AA,93,0,1706,,,,,PASS
85,169,Trailer,0x7FFF8000FD,,,,131070,0,0,0xFD,PASS
85,170,Next Header,0x3C5C178710,94,0,1808,,,,,PASS
86,170,Header,0x3C5C178710,94,0,1808,,,,,PASS
86,171,Trailer,0x7FFF80000E,,,,131070,0,0,0x0E,PASS
86,172,Next Header,0x3C5C17C776,95,0,1910,,,,,PASS
87,172,Header,0x3C5C17C776,95,0,1910,,,,,PASS
87,173,Trailer,0x7FFF800024,,,,131070,0,0,0x24,PASS
87,174,Next Header,0x3C5C1807DC,96,0,2012,,,,,PASS
88,174,Header,0x3C5C1807DC,96,0,2012,,,,,PASS
88,175,Trailer,0x7FFF8000A5,,,,131070,0,0,0xA5,PASS
88,176,Next Header,0x3C5C184842,97,0,2114,,,,,PASS
89,176,Header,0x3C5C184842,97,0,2114,,,,,PASS
89,177,Trailer,0x7FFF800072,,,,131070,0,0,0x72,PASS
89,178,Next Header,0x3C5C1888A8,98,0,2216,,,,,PASS
